SHA256,paths,size,decision,canonical_path,reason
23a3691912de14d073153c8b3601a850a663a3eb2470373117e90d9e9c96c782,cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final/trace_p0p380_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final_after_HH2_singularity_fix/trace_p0p380_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/rheobase_refinement_10pA/trace_p0p380_nA.csv,2163433,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final/trace_p0p380_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
2904288738bde686f2751df6dac66c99af6b11ca1050b43e6b95939523720f4d,archive/other_exploratory_models/early_project_work/project3/results/summary/only_DYN_inhibition_reduced_population_summary.csv | archive/other_exploratory_models/early_project_work/project3/results/summary/only_DYN_inhibition_reduced_projection_output.csv,215,retain experiment-context duplicate,archive/other_exploratory_models/early_project_work/project3/results/summary/only_DYN_inhibition_reduced_projection_output.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
2c32c9ae0ccc827caeec311a35ba6b48664385446276e62708b96988e38c6bac,cells/L796_projection_neuron/figures/step5_final_model/L796_step5_tuned_FI_curve.png | cells/L796_projection_neuron/validation/baseline_v1/L796_step5_tuned_FI_curve.png,92218,retain validated snapshot,cells/L796_projection_neuron/validation/baseline_v1/L796_step5_tuned_FI_curve.png,Immutable baseline package preserves model-of-record context.
2d5553d6aa4cfd8da79b90cabe4b6b13241449e571ea8f63fec81b06ecca6409,archive/other_exploratory_models/early_project_work/metadata/dorsal_horn_all.csv | archive/other_exploratory_models/early_project_work/metadata/sdh_all.csv,7971533,retain archive-context duplicate,archive/other_exploratory_models/early_project_work/metadata/sdh_all.csv,Historical package context remains scientifically useful.
2ea505758053cf010c80193e5c59a0305c1a4c8c80141a140867cec62dca68c0,cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence/dt_0p025__dlambda_0p05/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence/dt_0p025__dlambda_0p1/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence/dt_0p025__dlambda_0p2/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence_strict_dlambda/dt_0p025__dlambda_0p05/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence_strict_dlambda/dt_0p025__dlambda_0p1/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence_strict_dlambda/dt_0p025__dlambda_0p2/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/final/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/final_strict_dlambda/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/trials/candidate_gpas_2p9e-5/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/trials/candidate_gpas_3e-5/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/trials/starting_medlock_gpas/trace_p0p000_nA.csv,1615716,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/passive/final/trace_p0p000_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
32155cbf7e1ec0ad1c726f6d6d675cad7a55d3ad52d6024c9862f11082eb069c,cells/L292_E1_excitatory_interneuron/results/35C/eTrC/final/trace_m0p020_nA.csv | cells/L292_E1_excitatory_interneuron/results/35C/eTrC/final_initial_translation/trace_m0p020_nA.csv,1615716,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/35C/eTrC/final/trace_m0p020_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
32e2f8c45ddcad5cccb5081f6fdc4f1991611e2c89427b2016d5a7cf4a073a50,cells/L292_E1_excitatory_interneuron/results/23C/passive/convergence_strict_dlambda/dt_0p025__dlambda_0p1/trace_m0p010_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/final_strict_dlambda/trace_m0p010_nA.csv,1615716,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/passive/final_strict_dlambda/trace_m0p010_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
34e8c4417230a19cccdf0016ad92aa4ad3c8ed28009fd40cb8a183dbf7ae8d43,cells/L571_inhibitory_interneuron/results/23C/fi_curve.csv | cells/L571_inhibitory_interneuron/results/35C/fi_curve.csv,2201,retain experiment-context duplicate,cells/L571_inhibitory_interneuron/results/23C/fi_curve.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
3659941287d3c93af8914849d5d84a97b46b4c1bdb6de7bb7964e49dbb3fcd47,archive/other_exploratory_models/early_project_work/project3/results/summary/all_inhibition_reduced_population_summary.csv | archive/other_exploratory_models/early_project_work/project3/results/summary/all_inhibition_reduced_projection_output.csv,204,retain experiment-context duplicate,archive/other_exploratory_models/early_project_work/project3/results/summary/all_inhibition_reduced_projection_output.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
3ada9ede9e6726c3e0d60c6e674c749c844a40cf0f559c4fdc8ca9c9ea74c39a,archive/other_exploratory_models/early_project_work/project3/results/summary/only_ISLET_inhibition_reduced_population_summary.csv | archive/other_exploratory_models/early_project_work/project3/results/summary/only_ISLET_inhibition_reduced_projection_output.csv,219,retain experiment-context duplicate,archive/other_exploratory_models/early_project_work/project3/results/summary/only_ISLET_inhibition_reduced_projection_output.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
3df707ebb0994521e3c191759a255e6bb02372076ba074a8b3e272f93a446bd0,cells/L292_E1_excitatory_interneuron/results/35C/eTrC/final/trace_p1p500_nA.csv | cells/L292_E1_excitatory_interneuron/results/35C/eTrC/final_initial_translation/trace_p1p500_nA.csv,1615583,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/35C/eTrC/final/trace_p1p500_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
3e39af4b4e1536e5bb98b8b7e362777e2450fd5bb24e6d6d953a897b28f6f0b5,cells/L292_E1_excitatory_interneuron/results/35C/eTrC/final/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/35C/eTrC/final_initial_translation/trace_p0p000_nA.csv,1615716,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/35C/eTrC/final/trace_p0p000_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
48fa5c4053e12e896d748e567880a6f06cb725f0900109f1f67c0cd7ad20f8d8,cells/L796_projection_neuron/results/L796_final_validation_vs_targets.csv | cells/L796_projection_neuron/results/final_model/L796_final_validation_vs_targets.csv,858,retain experiment-context duplicate,cells/L796_projection_neuron/results/L796_final_validation_vs_targets.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
490242903a9f29ba50a1e17ab91647490a69cbf6b57b24969b74a1995e5369e4,archive/other_exploratory_models/early_project_work/project3/results/summary/baseline_normal_inhibition_spikes.csv | archive/other_exploratory_models/early_project_work/project3/results/summary/only_DYN_inhibition_reduced_spikes.csv,845321,retain experiment-context duplicate,archive/other_exploratory_models/early_project_work/project3/results/summary/baseline_normal_inhibition_spikes.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
4b763d44208d38b554f9aff82c1c5be304aa212bd5057c0037b18891e7d09c62,cells/L292_E1_excitatory_interneuron/results/23C/eTrC/area_preserved_rheobase_50pA/trace_p0p550_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/eTrC/final/trace_p0p550_nA.csv,1615716,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/eTrC/final/trace_p0p550_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
4c020cfc53371a4c1aa3abaae02f50b8ba4733f7b7d764bf5ec8bc57dc534ee7,archive/other_exploratory_models/early_project_work/project4/figures/project4_abeta_gaba_matrix.png | archive/other_exploratory_models/early_project_work/project5/data/project4_abeta_gaba_matrix.png,92115,retain archive-context duplicate,archive/other_exploratory_models/early_project_work/project5/data/project4_abeta_gaba_matrix.png,Historical package context remains scientifically useful.
4d8b8a33dd0fbe388b75a8abe4efcba515e988622b9c592ea68c0dbc8fb12337,cells/L796_projection_neuron/figures/step5_final_model/L796_step5_tuned_frequency_curve.png | cells/L796_projection_neuron/validation/baseline_v1/L796_step5_tuned_frequency_curve.png,91434,retain validated snapshot,cells/L796_projection_neuron/validation/baseline_v1/L796_step5_tuned_frequency_curve.png,Immutable baseline package preserves model-of-record context.
4e5e4966c938affc0a43a70f87f74046b6cf3e36650f61cfc5db4daa9c99d008,cells/L292_E1_excitatory_interneuron/results/23C/passive/final/trace_m0p005_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/passive/trials/candidate_gpas_2p9e-5/trace_m0p005_nA.csv,1615716,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/passive/final/trace_m0p005_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
4f43001161ede211b49935f82b1a4c4d419a4de64b2410fa132408fc070ad273,cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final/trace_m0p020_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final_after_HH2_singularity_fix/trace_m0p020_nA.csv,2163717,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final/trace_m0p020_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
500c2c1e2fbc841bbe74c1507258f8fd640c96b2e701d63f2a0b5ee05f1522bc,cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final/trace_p0p750_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final_after_HH2_singularity_fix/trace_p0p750_nA.csv,2159198,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final/trace_p0p750_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
54d5ee0a17a376ca38b4bad0cf29dd9498b16be46de429cb90f18d5a1cd4ef3d,cells/L292_E1_excitatory_interneuron/results/35C/eTrC/final/trace_p0p880_nA.csv | cells/L292_E1_excitatory_interneuron/results/35C/eTrC/rheobase_refinement_10pA/trace_p0p880_nA.csv,1615585,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/35C/eTrC/final/trace_p0p880_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
55ca4a5fa60ec5211088895b77ee9c9f0629deb2b04a9f4f5c03e95c578f8060,archive/other_exploratory_models/early_project_work/project1/data/direct_runs/gaba_scale_100_100mN_data.json | archive/other_exploratory_models/early_project_work/project3/results/raw/baseline_normal_inhibition.json | archive/other_exploratory_models/early_project_work/project3/results/raw/only_DYN_inhibition_reduced.json,8253756,retain experiment-context duplicate,archive/other_exploratory_models/early_project_work/project3/results/raw/baseline_normal_inhibition.json,Byte-identical output occurs in distinct documented protocols or stage directories.
5d2f68ef3d623260cecd2053199455cd019c17602e130467b480359260182c4f,cells/L292_E1_excitatory_interneuron/results/23C/eTrC/area_preserved_rheobase_10pA/trace_p0p560_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/eTrC/final/trace_p0p560_nA.csv,1615590,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/eTrC/final/trace_p0p560_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
6b0dfa703887a79c358d67a18b8c1dc60577f8823bb19aa043e51c35a51d3436,cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final/validation.svg | cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final_after_HH2_singularity_fix/validation.svg,251991,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final/validation.svg,Byte-identical output occurs in distinct documented protocols or stage directories.
6f023ed7b003a4ec54b6c538d4b71b75d21221ac29fe1ae2d15c538051ab8ad8,archive/other_exploratory_models/early_project_work/project4/results/project4_abeta_allodynia_condition_summary.csv | archive/other_exploratory_models/early_project_work/project5/data/project4_abeta_allodynia_condition_summary.csv,838,retain experiment-context duplicate,archive/other_exploratory_models/early_project_work/project5/data/project4_abeta_allodynia_condition_summary.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
6f98ffca486c0e335302eca3bc63d0496af42a9596fb01f7469e8380f7e4fdcc,cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final/trace_p1p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final_after_HH2_singularity_fix/trace_p1p000_nA.csv,2156659,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final/trace_p1p000_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
6fef664c81318d447375a311a0c15b4fcba05c0cb81a412e13f74e053a9bf5e5,cells/L292_E1_excitatory_interneuron/results/35C/eTrC/final/trace_p0p900_nA.csv | cells/L292_E1_excitatory_interneuron/results/35C/eTrC/rheobase_refinement_50pA/trace_p0p900_nA.csv,1615583,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/35C/eTrC/final/trace_p0p900_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
7177506efad6b6f60f1b9ac86686617bf5ffc94b8754585e2bb1e3ae6ae77496,external/medlock_267056_excitatory_scaffold/mods/B_NA.mod | shared/mechanisms/medlock_267056/B_NA.mod,1894,retain justified snapshot duplicate,shared/mechanisms/medlock_267056/B_NA.mod,External scaffold remains independently runnable and preserves its audited upstream snapshot.
78c026e21551eb50c38be3d3e3c8766b8b56e6b8ef2c61a5bfcbb61cc0b8b0ee,cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/broad_initial_retry/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/one_current_diagnostic/trace_p0p000_nA.csv,1615716,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/broad_initial_retry/trace_p0p000_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
797bb460c8b78023c8a0434634d7fecd39093bee7c95d4fd2658720118a86061,cells/L796_projection_neuron/reports/L796_model_vs_literature_validation_table.csv | cells/L796_projection_neuron/validation/ap_features/L796_model_vs_literature_validation_table.csv,1078,reviewed and retained,cells/L796_projection_neuron/reports/L796_model_vs_literature_validation_table.csv,No safe context-free deletion was justified after structural deduplication.
7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,cells/L796_projection_neuron/results/step5_final_model/best_I_-10pA_ais_vs_soma_check.csv | cells/L796_projection_neuron/results/step5_final_model/best_I_0pA_ais_vs_soma_check.csv | cells/L796_projection_neuron/results/step5_final_model/best_I_20pA_ais_vs_soma_check.csv,2,retain experiment-context duplicate,cells/L796_projection_neuron/results/step5_final_model/best_I_0pA_ais_vs_soma_check.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
8783575961e679c2dceedc84cbc7c562ec7d24bd428c212b06166879c8a75e99,cells/L796_projection_neuron/results/L796_final_v2_validation_vs_targets.csv | cells/L796_projection_neuron/results/final_model_v2/L796_final_v2_validation_vs_targets.csv,937,retain experiment-context duplicate,cells/L796_projection_neuron/results/L796_final_v2_validation_vs_targets.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
8a644e8ce344b95497caa58b2603d3ca32d106e04a5d76efb25d146faaa1a18d,cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final_after_HH2_singularity_fix/trace_p0p000_nA.csv,2163717,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/delayed_excitatory/final/trace_p0p000_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
8c39373a65925737bb85efad4a5204329eb469217e56ccf7d481a10ce950b142,cells/L796_projection_neuron/results/step5_final_model/L796_step5_best_model_features.csv | cells/L796_projection_neuron/validation/baseline_v1/L796_step5_best_model_features.csv,3029,retain validated snapshot,cells/L796_projection_neuron/validation/baseline_v1/L796_step5_best_model_features.csv,Immutable baseline package preserves model-of-record context.
969d14524c60e1944f217accbefbf41e88bbddaf17c533880b4847b8df77c355,archive/other_exploratory_models/early_project_work/deliverables/week1/neuromorpho_week1_table.csv | archive/other_exploratory_models/early_project_work/results/neuromorpho_week1_table.csv,1909,retain experiment-context duplicate,archive/other_exploratory_models/early_project_work/results/neuromorpho_week1_table.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
98d449f07b3d6deab7688becdccaec2f58ffaeb140cb5ebd671ef1bdd6dbb1ce,cells/L796_projection_neuron/reports/L796_step5_AIS_soma_summary_STIM_WINDOW.csv | cells/L796_projection_neuron/validation/ais_soma/L796_step5_AIS_soma_summary_STIM_WINDOW.csv | cells/L796_projection_neuron/validation/baseline_v1/L796_step5_AIS_soma_summary_STIM_WINDOW.csv,676,retain validated snapshot,cells/L796_projection_neuron/reports/L796_step5_AIS_soma_summary_STIM_WINDOW.csv,Immutable baseline package preserves model-of-record context.
9c9132b4d3ec0560549a7ca2a382f867f86055f836ee0b950d7e517bcc909ffa,archive/other_exploratory_models/early_project_work/logs/fields.log | archive/other_exploratory_models/early_project_work/logs/neuromorpho_fields.log,710,retain archive-context duplicate,archive/other_exploratory_models/early_project_work/logs/fields.log,Historical package context remains scientifically useful.
9e8ab77cdedd7bcc8c887fece99c1c9856c3384afd649183a4fd256188e1f3ab,cells/L571_inhibitory_interneuron/results/23C/selected_traces.npz | cells/L571_inhibitory_interneuron/results/35C/selected_traces.npz,3406673,retain experiment-context duplicate,cells/L571_inhibitory_interneuron/results/23C/selected_traces.npz,Byte-identical output occurs in distinct documented protocols or stage directories.
a90549aad89aafca5b14efd7461f845747b1080396f4cec1ff4150938712100f,archive/other_exploratory_models/early_project_work/project4/figures/project4_mechanical_allodynia_mechanism_diagram.png | archive/other_exploratory_models/early_project_work/project5/data/project4_mechanical_allodynia_mechanism_diagram.png,184276,retain archive-context duplicate,archive/other_exploratory_models/early_project_work/project5/data/project4_mechanical_allodynia_mechanism_diagram.png,Historical package context remains scientifically useful.
b020fba035f29d17bc3be505d74e3540d55316c7994b20291d1dbeefe4f639e8,cells/L292_E1_excitatory_interneuron/results/35C/eTrC/final/trace_p0p870_nA.csv | cells/L292_E1_excitatory_interneuron/results/35C/eTrC/rheobase_refinement_10pA/trace_p0p870_nA.csv,1615716,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/35C/eTrC/final/trace_p0p870_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
b48cd688935b0d443398915117e73f594038a26ef0b9f8a31d18f6569dab0895,archive/other_exploratory_models/early_project_work/project3/results/summary/project3_population_summary.csv | archive/other_exploratory_models/early_project_work/project3/results/summary/project3_projection_output_summary.csv,634,retain experiment-context duplicate,archive/other_exploratory_models/early_project_work/project3/results/summary/project3_population_summary.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
b755cb4d13eb73e31bb1ce9fcf8711dbe9cc1132d4956118ee45cfd522620586,cells/L292_E1_excitatory_interneuron/results/23C/eTrC/area_preserved_broad/trace_m0p020_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/eTrC/final/trace_m0p020_nA.csv,1615716,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/eTrC/final/trace_m0p020_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
b97badab8d4d0389302506b9e3334471bd2fe39d5b7fbb2713f0b17b749fdd6c,cells/L292_E1_excitatory_interneuron/results/23C/eTrC/area_preserved_extended/trace_p0p500_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/eTrC/final/trace_p0p500_nA.csv,1615716,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/eTrC/final/trace_p0p500_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
bc817ed00fd1d279c5b97026d7ebe6f5f62a47e4cb3fd69197090ed5ba4e7f63,cells/L292_E1_excitatory_interneuron/results/23C/eTrC/area_preserved_rheobase_50pA/trace_p0p600_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/eTrC/final/trace_p0p600_nA.csv,1615589,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/eTrC/final/trace_p0p600_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
be42adf50b78220fa457c7e5afddf993f2e2ebb9acaa5cc805f3f9a14f545ec6,cells/L292_E1_excitatory_interneuron/results/23C/eTrC/area_preserved_broad/trace_p0p000_nA.csv | cells/L292_E1_excitatory_interneuron/results/23C/eTrC/final/trace_p0p000_nA.csv,1615716,retain experiment-context duplicate,cells/L292_E1_excitatory_interneuron/results/23C/eTrC/final/trace_p0p000_nA.csv,Byte-identical output occurs in distinct documented protocols or stage directories.
c17fd7348b66bee2b0e13cd1f67aef69a2a116a973b024b71fa6641e77ad4537,cells/L796_projection_neuron/reports/L796_step5_somatic_AP_features_summary_STIM_WINDOW.csv | cells/L796_projection_neuron/results/ap_features/L796_step5_somatic_AP_features_summary_STIM_WINDOW.csv | cells/L796_projection_neuron/validation/baseline_v1/L796_step5_somatic_AP_features_summary_STIM_WINDOW.csv,1727,retain validated snapshot,cells/L796_projection_neuron/reports/L796_step5_somatic_AP_features_summary_STIM_WINDOW.csv,Immutable baseline package preserves model-of-record context.
