Parameter,Value,Units,Species,Region,Lamina,Cell identity,Exact reconstructed cell?,Same genetic population?,Population-level?,Different cell class?,Source paper,DOI/PMID,Recording temperature,Experimental protocol,Confidence,Used in model?,Reason,Notes
AHP amplitude,-17.6 +/- 1.6,mV,mouse,lumbar spinal dorsal horn,IIi-III,PV inhibitory interneurons,No,Yes,Yes,No,Gradwell et al. 2022 (aging study),10.3389/fncir.2022.834173 / PMID 35874431,21-24 C,AHP relative to AP threshold,SP/PL; high,Yes,Diagnostic active observable,Sign follows source convention
AHP half-width,28.9 +/- 6.9,ms,mouse,lumbar spinal dorsal horn,IIi-III,PV inhibitory interneurons,No,Yes,Yes,No,Gradwell et al. 2022 (aging study),10.3389/fncir.2022.834173 / PMID 35874431,21-24 C,First AP at rheobase,SP/PL; high,Comparison only,Minimal Na/KDR model may not reproduce slow AHP,Failure can justify a later additional mechanism
Axial resistivity,150,ohm cm,mouse,lumbar spinal dorsal horn,II-III,model parameter,No,No,No,No,None,A,Not applicable,Restrained passive sweep,A; low,Yes,Numerical/cable parameter; selected by constrained grid,Not experimentally measured in the source cell
Specific capacitance,0.5,uF/cm2,mouse,lumbar spinal dorsal horn,II-III,model parameter,No,No,No,No,None,A/F,Not applicable,Restrained passive sweep,A/F; low,Yes,Lower boundary of restrained range minimized capacitance mismatch,Equivalent capacitance remains 35.23 pF and fails the 10.9 +/- 0.6 pF comparison
Leak reversal,-60,mV,mouse,lumbar spinal dorsal horn,II-III,model parameter,No,No,No,No,None,A/F,Not applicable,Passive fit,A/F; low,Yes,Stabilizes experimental holding condition,Experimental -60 mV was a holding potential and is not claimed as measured RMP
Leak conductance,0.0000607682831,S/cm2,mouse,lumbar spinal dorsal horn,II-III,model parameter,No,No,No,No,None,F,Not applicable,Fit to input resistance,F; moderate,Yes,Controls input resistance with native morphology,Passive Rin 225.000 MOhm; active-model probe 219.738 MOhm
Somatic fast-Na conductance,0.006,S/cm2,mouse,lumbar spinal dorsal horn,II-III,model parameter,No,No,No,No,Medlock ModelDB kinetics via existing project mechanism,F/M,23 C,Deterministic conductance sweep,F/M; low,Yes,Required for AP generation,Density is fitted; channel isoform is not identified
Somatic delayed-rectifier-K conductance,0.003,S/cm2,mouse,lumbar spinal dorsal horn,II-III,model parameter,No,No,No,No,Medlock ModelDB kinetics via existing project mechanism,F/M,23 C,Deterministic conductance sweep,F/M; low,Yes,Required for repolarization,Density is fitted; molecular identity is not established
Proximal-axon Na conductance,0.4,S/cm2,mouse,lumbar spinal dorsal horn,II-III,MODEL-DEFINED AIS proxy,No,No,No,No,Medlock ModelDB kinetics via existing project mechanism,F/M/A,23 C,30-um proximal native axon region,F/M/A; low,Yes,Enables persistent firing,Highly sensitive to -10% Na and proxy length; not an anatomically confirmed AIS
35-C active response,Model prediction,,mouse,lumbar spinal dorsal horn,II-III,model parameter,No,No,No,No,None,P,35 C,Same standardized current-clamp protocol,P; low,Yes,Network-temperature translation,No direct 35-C PV population target used
